team1,team2,score_team1,score_team2,wickets_team1,wickets_team2,winner,time_of_day,series,player_of_match,player_of_match_team,toss,toss_decision,ground_country,winner_played_at,year
South Africa,England,129,115,10,10,South Africa,Day and night,England tour of South Africa,Paul Adams,South Africa,South Africa,bat first,South Africa,home,1996
South Africa,England,218,154,9,10,South Africa,Day,England tour of South Africa,Adrian Kuiper,South Africa,South Africa,bat first,South Africa,home,1996
New Zealand,Zimbabwe,278,204,5,10,New Zealand,Day,Zimbabwe tour of New Zealand,Nathan Astle,New Zealand,New Zealand,bat first,New Zealand,home,1996
Zimbabwe,New Zealand,181,184,9,4,New Zealand,Day,Zimbabwe tour of New Zealand,Stephen Fleming,New Zealand,Zimbabwe,bat first,New Zealand,home,1996
Zimbabwe,New Zealand,267,246,7,10,Zimbabwe,Day and night,Zimbabwe tour of New Zealand,Andy Flower,Zimbabwe,New Zealand,field first,New Zealand,away,1996
New Zealand,England,239,228,6,9,New Zealand,Day,Wills World Cup,Nathan Astle,New Zealand,England,field first,India,away,1996
South Africa,United Arab Emirates,321,152,2,8,South Africa,Day,Wills World Cup,Gary Kirsten,South Africa,United Arab Emirates,field first,Pakistan,away,1996
Zimbabwe,West Indies,151,155,9,4,West Indies,Day and night,Wills World Cup,Curtly Ambrose,West Indies,Zimbabwe,bat first,India,away,1996
New Zealand,Netherlands,307,188,8,7,New Zealand,Day,Wills World Cup,Craig Spearman,New Zealand,New Zealand,bat first,India,away,1996
Kenya,India,199,203,6,3,India,Day,Wills World Cup,Sachin Tendulkar,India,India,field first,India,home,1996
United Arab Emirates,England,136,140,10,2,England,Day,Wills World Cup,Neil Smith,England,United Arab Emirates,bat first,Pakistan,away,1996
New Zealand,South Africa,177,178,9,5,South Africa,Day,Wills World Cup,Hansie Cronje,South Africa,New Zealand,bat first,Pakistan,away,1996
Zimbabwe,Sri Lanka,228,229,6,4,Sri Lanka,Day,Wills World Cup,Aravinda de Silva,Sri Lanka,Zimbabwe,bat first,Sri Lanka,home,1996
West Indies,India,173,174,10,5,India,Day and night,Wills World Cup,Sachin Tendulkar,India,West Indies,bat first,India,home,1996
England,Netherlands,279,230,4,6,England,Day,Wills World Cup,Graeme Hick,England,England,bat first,Pakistan,away,1996
Australia,Kenya,304,207,7,7,Australia,Day,Wills World Cup,Mark Waugh,Australia,Kenya,field first,India,away,1996
United Arab Emirates,Pakistan,109,112,9,1,Pakistan,Day,Wills World Cup,Mushtaq Ahmed,Pakistan,Pakistan,field first,Pakistan,home,1996
South Africa,England,230,152,10,10,South Africa,Day,Wills World Cup,Jonty Rhodes,South Africa,South Africa,bat first,Pakistan,away,1996
Netherlands,Pakistan,145,151,7,2,Pakistan,Day,Wills World Cup,Waqar Younis,Pakistan,Netherlands,bat first,Pakistan,home,1996
Kenya,Zimbabwe,134,137,10,5,Zimbabwe,Day,Wills World Cup,Paul Strang,Zimbabwe,Zimbabwe,field first,India,away,1996
New Zealand,United Arab Emirates,276,167,8,9,New Zealand,Day,Wills World Cup,Roger Twose,New Zealand,United Arab Emirates,field first,Pakistan,away,1996
Australia,India,258,242,10,10,Australia,Day and night,Wills World Cup,Mark Waugh,Australia,Australia,bat first,India,away,1996
Kenya,West Indies,166,93,10,10,Kenya,Day,Wills World Cup,Maurice Odumbe,Kenya,West Indies,field first,India,away,1996
Pakistan,South Africa,242,243,6,5,South Africa,Day,Wills World Cup,Hansie Cronje,South Africa,Pakistan,bat first,Pakistan,away,1996
Zimbabwe,Australia,154,158,10,2,Australia,Day,Wills World Cup,Shane Warne,Australia,Zimbabwe,bat first,India,away,1996
Netherlands,United Arab Emirates,216,220,9,3,U.A.E.,Day,Wills World Cup,Saleem Raza,United Arab Emirates,United Arab Emirates,field first,Pakistan,away,1996
India,Sri Lanka,271,272,3,4,Sri Lanka,Day,Wills World Cup,Sanath Jayasuriya,Sri Lanka,Sri Lanka,field first,India,away,1996
England,Pakistan,249,250,9,3,Pakistan,Day,Wills World Cup,Aamer Sohail,Pakistan,England,bat first,Pakistan,home,1996
Australia,West Indies,229,232,6,6,West Indies,Day,Wills World Cup,Richie Richardson,West Indies,Australia,bat first,India,away,1996
South Africa,Netherlands,328,168,3,8,South Africa,Day,Wills World Cup,Andrew Hudson,South Africa,South Africa,bat first,Pakistan,away,1996
India,Zimbabwe,247,207,5,10,India,Day,Wills World Cup,Ajay Jadeja,India,Zimbabwe,field first,India,home,1996
Sri Lanka,Kenya,398,254,5,7,Sri Lanka,Day,Wills World Cup,Aravinda de Silva,Sri Lanka,Kenya,field first,Sri Lanka,home,1996
Pakistan,New Zealand,281,235,5,10,Pakistan,Day,Wills World Cup,Saleem Malik,Pakistan,New Zealand,field first,Pakistan,home,1996
England,Sri Lanka,235,236,8,5,Sri Lanka,Day,Wills World Cup,Sanath Jayasuriya,Sri Lanka,England,bat first,Pakistan,away,1996
India,Pakistan,287,248,8,9,India,Day and night,Wills World Cup,Navjot Sidhu,India,India,bat first,India,home,1996
West Indies,South Africa,264,245,8,10,West Indies,Day,Wills World Cup,Brian Lara,West Indies,West Indies,bat first,Pakistan,away,1996
New Zealand,Australia,286,289,9,4,Australia,Day and night,Wills World Cup,Mark Waugh,Australia,New Zealand,bat first,India,away,1996
Sri Lanka,India,251,120,8,8,Sri Lanka,Day and night,Wills World Cup,Aravinda de Silva,Sri Lanka,India,field first,India,away,1996
Australia,Sri Lanka,241,245,7,3,Sri Lanka,Day and night,Wills World Cup,Aravinda de Silva,Sri Lanka,Sri Lanka,field first,Pakistan,away,1996
New Zealand,West Indies,243,247,10,9,West Indies,Day,New Zealand tour of West Indies,Dipak Patel,New Zealand,West Indies,field first,West Indies,home,1996
West Indies,New Zealand,238,239,7,6,New Zealand,Day,New Zealand tour of West Indies,Stephen Fleming,New Zealand,New Zealand,field first,West Indies,away,1996
New Zealand,West Indies,219,225,8,3,West Indies,Day,New Zealand tour of West Indies,Brian Lara,West Indies,New Zealand,bat first,West Indies,home,1996
Sri Lanka,Pakistan,349,315,9,10,Sri Lanka,Day,Singer Cup,Sanath Jayasuriya,Sri Lanka,Pakistan,field first,Singapore,away,1996
India,Sri Lanka,199,187,10,10,India,Day,Singer Cup,Javagal Srinath,India,India,bat first,Singapore,away,1996
New Zealand,West Indies,158,154,10,10,New Zealand,Day,New Zealand tour of West Indies,Dipak Patel,New Zealand,West Indies,field first,Guyana,away,1996
India,Pakistan,226,190,8,2,Pakistan,Day,Singer Cup,Aamer Sohail,Pakistan,Pakistan,field first,Singapore,away,1996
New Zealand,West Indies,241,242,8,3,West Indies,Day,New Zealand tour of West Indies,Phil Simmons,West Indies,West Indies,field first,West Indies,home,1996
Pakistan,Sri Lanka,215,172,10,10,Pakistan,Day,Singer Cup,Saqlain Mushtaq,Pakistan,Sri Lanka,field first,Singapore,away,1996
Pakistan,India,271,233,5,10,Pakistan,Day,Pepsi Sharjah Cup,Aamer Sohail,Pakistan,India,field first,United Arab Emirates,away,1996
South Africa,Pakistan,314,171,3,7,South Africa,Day,Pepsi Sharjah Cup,Daryll Cullinan,South Africa,South Africa,bat first,United Arab Emirates,away,1996
Sri Lanka,West Indies,251,216,10,9,Sri Lanka,Day,Sri Lanka tour of West Indies,Kumar Dharmasena,Sri Lanka,Sri Lanka,bat first,West Indies,away,1996
South Africa,India,288,208,6,8,South Africa,Day,Pepsi Sharjah Cup,Hansie Cronje,South Africa,South Africa,bat first,United Arab Emirates,away,1996
India,Pakistan,305,277,5,10,India,Day,Pepsi Sharjah Cup,Sachin Tendulkar,India,India,bat first,United Arab Emirates,away,1996
Pakistan,South Africa,188,189,10,2,South Africa,Day,Pepsi Sharjah Cup,Craig Matthews,South Africa,Pakistan,bat first,United Arab Emirates,away,1996
India,South Africa,215,216,8,5,South Africa,Day,Pepsi Sharjah Cup,Paul Adams,South Africa,India,bat first,United Arab Emirates,away,1996
South Africa,India,287,249,5,9,South Africa,Day,Pepsi Sharjah Cup,Gary Kirsten,South Africa,South Africa,bat first,United Arab Emirates,away,1996
India,England,158,162,10,4,England,Day,India tour of England,Graham Thorpe,England,England,field first,England,home,1996
India,England,236,239,4,6,England,Day,India tour of England,Ali Brown,England,India,bat first,England,home,
Australia,Zimbabwe,263,138,7,10,Australia,Day and night,Singer World Series,Steve Waugh,Australia,Australia,bat first,Sri Lanka,away,1996
India,Sri Lanka,226,230,5,1,Sri Lanka,Day and night,Singer World Series,Sanath Jayasuriya,Sri Lanka,India,bat first,Sri Lanka,home,1996
Pakistan,England,225,226,5,5,England,Day,Pakistan tour of England and Scotland,Mike Atherton,England,Pakistan,bat first,England,home,1996
Australia,Sri Lanka,228,232,9,6,Sri Lanka,Day and night,Singer World Series,Aravinda de Silva,Sri Lanka,Australia,bat first,Sri Lanka,home,1996
England,Pakistan,292,185,8,10,England,Day,Pakistan tour of England and Scotland,Nick Knight,England,Pakistan,field first,England,home,1996
Zimbabwe,India,226,229,10,3,India,Day,Singer World Series,Ajay Jadeja,India,India,field first,Sri Lanka,away,1996
England,Pakistan,246,247,10,8,Pakistan,Day,Pakistan tour of England and Scotland,Wasim Akram,Pakistan,England,bat first,England,away,1996
Zimbabwe,Sri Lanka,227,228,5,4,Sri Lanka,Day,Singer World Series,Aravinda de Silva,Sri Lanka,Sri Lanka,field first,Sri Lanka,home,1996
India,Australia,201,202,10,7,Australia,Day,Singer World Series,Steve Waugh,Australia,Australia,field first,Sri Lanka,away,1996
Sri Lanka,Australia,234,184,3,10,Sri Lanka,Day,Singer World Series,Aravinda de Silva,Sri Lanka,Australia,field first,Sri Lanka,home,1996
Pakistan,India,170,173,9,2,India,Day,Pakistan tour of Canada,Sachin Tendulkar,India,India,field first,Canada,away,1996
India,Pakistan,264,266,6,8,Pakistan,Day,Pakistan tour of Canada,Saleem Malik,Pakistan,Pakistan,field first,Canada,away,1996
India,Pakistan,191,136,10,10,India,Day,Pakistan tour of Canada,Rahul Dravid,India,India,bat first,Canada,away,1996
Pakistan,India,258,161,8,10,Pakistan,Day,Pakistan tour of Canada,Ijaz Ahmed,Pakistan,India,field first,Canada,away,1996
Pakistan,India,213,161,9,10,Pakistan,Day,Pakistan tour of Canada,Mushtaq Ahmed,Pakistan,Pakistan,bat first,Canada,away,1996
Kenya,Sri Lanka,188,190,9,3,Sri Lanka,Day,KCA Centenary Tournament,Muthiah Muralidaran,Sri Lanka,Sri Lanka,field first,Kenya,away,1996
South Africa,Pakistan,321,259,8,10,South Africa,Day,KCA Centenary Tournament,Jonty Rhodes,South Africa,Pakistan,field first,Kenya,away,1996
South Africa,Sri Lanka,169,170,10,8,Sri Lanka,Day,KCA Centenary Tournament,Sanath Jayasuriya,Sri Lanka,South Africa,bat first,Kenya,away,1996
Kenya,Pakistan,148,149,10,6,Pakistan,Day,KCA Centenary Tournament,Thomas Odoyo,Kenya,Kenya,bat first,Kenya,away,1996
South Africa,Kenya,305,103,8,10,South Africa,Day,KCA Centenary Tournament,Allan Donald,South Africa,South Africa,bat first,Kenya,away,1996
Pakistan,Sri Lanka,371,289,9,10,Pakistan,Day,KCA Centenary Tournament,Shahid Afridi,Pakistan,Sri Lanka,field first,Kenya,away,1996
Pakistan,South Africa,203,204,10,3,South Africa,Day,KCA Centenary Tournament,Gary Kirsten,South Africa,Pakistan,bat first,Kenya,away,1996
South Africa,India,261,214,7,10,South Africa,Day and night,Titan Cup,Gary Kirsten,South Africa,South Africa,bat first,India,away,1996
Australia,South Africa,219,220,7,3,South Africa,Day,Titan Cup,Gary Kirsten,South Africa,Australia,bat first,India,away,1996
Australia,India,215,216,7,8,India,Day and night,Titan Cup,Sachin Tendulkar,India,Australia,bat first,India,home,1996
South Africa,India,249,222,6,7,South Africa,Day,Titan Cup,Daryll Cullinan,South Africa,India,field first,India,away,1996
Australia,South Africa,215,218,10,8,South Africa,Day,Titan Cup,Allan Donald,South Africa,Australia,bat first,India,away,1996
India,South Africa,185,188,10,5,South Africa,Day,Titan Cup,Jonty Rhodes,South Africa,India,bat first,India,away,1996
Zimbabwe,Pakistan,237,239,9,7,Pakistan,Day,Zimbabwe tour of Pakistan,Saleem Malik,Pakistan,Zimbabwe,bat first,Pakistan,home,1996
Australia,South Africa,238,239,6,2,South Africa,Day,Titan Cup,Pat Symcox,South Africa,Australia,bat first,India,away,1996
Zimbabwe,Pakistan,195,196,10,1,Pakistan,Day,Zimbabwe tour of Pakistan,Shahid Afridi,Pakistan,Zimbabwe,bat first,Pakistan,home,1996
Pakistan,Zimbabwe,264,147,9,10,Pakistan,Day,Zimbabwe tour of Pakistan,Ijaz Ahmed,Pakistan,Pakistan,bat first,Pakistan,home,1996
India,Australia,289,284,6,10,India,Day and night,Titan Cup,Mohammad Azharuddin,India,Australia,field first,India,home,1996
India,South Africa,220,185,7,10,India,Day and night,Titan Cup,Anil Kumble,India,India,bat first,India,home,1996
New Zealand,Sri Lanka,206,177,8,10,New Zealand,Day,Singer Champions Trophy,Chris Cairns,New Zealand,Sri Lanka,field first,United Arab Emirates,away,1996
Sri Lanka,Pakistan,206,131,10,10,Sri Lanka,Day,Singer Champions Trophy,Sanath Jayasuriya,Sri Lanka,Pakistan,field first,United Arab Emirates,away,1996
New Zealand,Pakistan,197,198,10,6,Pakistan,Day,Singer Champions Trophy,Saeed Anwar,Pakistan,New Zealand,bat first,United Arab Emirates,away,1996
New Zealand,Sri Lanka,169,169,8,10,Match tied,Day,Singer Champions Trophy,Danny Morrison,New Zealand,New Zealand,bat first,United Arab Emirates,away,1996
Sri Lanka,Pakistan,189,193,10,2,Pakistan,Day,Singer Champions Trophy,Saeed Anwar,Pakistan,Sri Lanka,bat first,United Arab Emirates,away,1996
New Zealand,Pakistan,192,196,10,6,Pakistan,Day,Singer Champions Trophy,Waqar Younis,Pakistan,Pakistan,field first,United Arab Emirates,away,1996
Pakistan,New Zealand,160,119,10,10,Pakistan,Day,Singer Champions Trophy,Wasim Akram,Pakistan,New Zealand,field first,United Arab Emirates,away,1996
Pakistan,New Zealand,228,217,8,10,Pakistan,Day,New Zealand tour of Pakistan,Saleem Malik,Pakistan,Pakistan,bat first,Pakistan,home,1996
West Indies,Australia,172,173,10,5,Australia,Day and night,Carlton & United Series,Greg Blewett,Australia,West Indies,bat first,Australia,home,1996
Pakistan,New Zealand,277,231,9,10,Pakistan,Day,New Zealand tour of Pakistan,Saeed Anwar,Pakistan,Pakistan,bat first,Pakistan,home,1996
West Indies,Australia,161,162,10,2,Australia,Day and night,Carlton & United Series,Shane Warne,Australia,West Indies,bat first,Australia,home,1996
Pakistan,New Zealand,234,235,4,3,New Zealand,Day,New Zealand tour of Pakistan,Nathan Astle,New Zealand,Pakistan,bat first,Pakistan,away,1996
India,South Africa,267,193,6,10,India,Day and night,South Africa tour of India,Sachin Tendulkar,India,India,bat first,India,home,1996
Pakistan,Australia,223,211,10,10,Pakistan,Day,Carlton & United Series,Saqlain Mushtaq,Pakistan,Pakistan,bat first,Australia,away,1996
England,Zimbabwe,152,153,10,8,Zimbabwe,Day,England tour of Zimbabwe,Alistair Campbell,Zimbabwe,Zimbabwe,field first,Zimbabwe,home,1996
Pakistan,West Indies,176,177,10,3,West Indies,Day,Carlton & United Series,Junior Murray,West Indies,West Indies,field first,Australia,away,1996
Australia,Pakistan,199,203,10,6,Pakistan,Day and night,Carlton & United Series,Shane Warne,Australia,Australia,bat first,Australia,away,1997
Zimbabwe,England,200,179,10,7,Zimbabwe,Day,England tour of Zimbabwe,John Crawley,England,England,field first,Zimbabwe,home,1997
Pakistan,West Indies,197,198,10,4,West Indies,Day and night,Carlton & United Series,Carl Hooper,West Indies,West Indies,field first,Australia,away,1997
Zimbabwe,England,249,118,7,10,Zimbabwe,Day,England tour of Zimbabwe,Eddo Brandes,Zimbabwe,England,field first,Zimbabwe,home,1997
Australia,West Indies,281,284,4,3,West Indies,Day and night,Carlton & United Series,Carl Hooper,West Indies,Australia,bat first,Australia,away,1997
Pakistan,Australia,149,120,10,10,Pakistan,Day,Carlton & United Series,Mohammad Wasim,Pakistan,Pakistan,bat first,Australia,away,1997
Pakistan,West Indies,257,258,7,5,West Indies,Day and night,Carlton & United Series,Brian Lara,West Indies,West Indies,field first,Australia,away,1997
Australia,West Indies,267,269,7,6,West Indies,Day,Carlton & United Series,Brian Lara,West Indies,Australia,bat first,Australia,away,1997
West Indies,Pakistan,181,183,10,2,Pakistan,Day and night,Carlton & United Series,Saqlain Mushtaq,Pakistan,Pakistan,field first,Australia,away,1997
Pakistan,Australia,181,182,9,7,Australia,Day and night,Carlton & United Series,Anthony Stuart,Australia,Pakistan,bat first,Australia,home,1997
South Africa,India,270,231,4,10,South Africa,Day and night,Standard Bank International One-Day Series,Jonty Rhodes,South Africa,South Africa,bat first,South Africa,home,1997
Zimbabwe,South Africa,211,212,10,5,South Africa,Day and night,Standard Bank International One-Day Series,Daryll Cullinan,South Africa,Zimbabwe,bat first,South Africa,home,1997
Zimbabwe,India,236,236,8,10,Match tied,Day and night,Standard Bank International One-Day Series,Robin Singh,India,Zimbabwe,bat first,South Africa,away,1997
Zimbabwe,South Africa,226,229,6,5,South Africa,Day and night,Standard Bank International One-Day Series,Dave Houghton,Zimbabwe,Zimbabwe,bat first,South Africa,home,1997
Zimbabwe,South Africa,256,259,8,6,South Africa,Day and night,Standard Bank International One-Day Series,Hansie Cronje,South Africa,Zimbabwe,bat first,South Africa,home,1997
India,South Africa,179,180,9,4,South Africa,Day,Standard Bank International One-Day Series,Jacques Kallis,South Africa,India,bat first,South Africa,home,1997
India,South Africa,232,236,5,4,South Africa,Day and night,Standard Bank International One-Day Series,Sourav Ganguly,India,India,bat first,South Africa,home,1997
India,Zimbabwe,216,171,10,7,Zimbabwe,Day and night,Standard Bank International One-Day Series,Craig Evans,Zimbabwe,India,bat first,South Africa,away,1997
Zimbabwe,India,240,241,8,4,India,Day,Standard Bank International One-Day Series,Sachin Tendulkar,India,India,field first,South Africa,away,1997
South Africa,India,278,234,8,10,South Africa,Day and night,Standard Bank International One-Day Series,Rahul Dravid,India,South Africa,bat first,South Africa,home,1997
India,Zimbabwe,168,139,10,2,Zimbabwe,Day,India tour of Zimbabwe,Heath Streak,Zimbabwe,Zimbabwe,field first,Zimbabwe,home,1997
New Zealand,England,222,226,6,6,England,Day and night,England tour of New Zealand,Phil Tufnell,England,New Zealand,bat first,New Zealand,away,1997
New Zealand,England,253,134,8,4,England,Day,England tour of New Zealand,Nick Knight,England,New Zealand,bat first,New Zealand,away,1997
New Zealand,England,237,237,10,8,Match tied,Day and night,England tour of New Zealand,Chris Harris,New Zealand,New Zealand,bat first,New Zealand,away,1997
New Zealand,England,153,144,10,10,New Zealand,Day,England tour of New Zealand,Gavin Larsen,New Zealand,England,field first,New Zealand,home,1997
New Zealand,England,228,200,8,10,New Zealand,Day,England tour of New Zealand,Nathan Astle,New Zealand,New Zealand,bat first,New Zealand,home,1997
New Zealand,Sri Lanka,201,202,9,4,Sri Lanka,Day and night,Sri Lanka tour of New Zealand,Sanath Jayasuriya,Sri Lanka,Sri Lanka,field first,New Zealand,away,1997
New Zealand,Sri Lanka,201,132,10,10,New Zealand,Day,Sri Lanka tour of New Zealand,Chris Cairns,New Zealand,Sri Lanka,field first,New Zealand,home,1997
Australia,South Africa,223,227,9,4,South Africa,Day,Australia tour of South Africa,Daryll Cullinan,South Africa,South Africa,field first,South Africa,home,1997
South Africa,Australia,221,222,8,3,Australia,Day,Australia tour of South Africa,Mark Waugh,Australia,Australia,field first,South Africa,away,1997
South Africa,Australia,245,199,8,10,South Africa,Day and night,Australia tour of South Africa,Jonty Rhodes,South Africa,Australia,field first,South Africa,home,1997
Zimbabwe,Sri Lanka,187,188,9,3,Sri Lanka,Day,Singer-Akai Cup,Aravinda de Silva,Sri Lanka,Sri Lanka,field first,United Arab Emirates,away,1997
Sri Lanka,Pakistan,243,224,8,9,Sri Lanka,Day,Singer-Akai Cup,Aravinda de Silva,Sri Lanka,Pakistan,field first,United Arab Emirates,away,1997
Australia,South Africa,211,196,9,10,Australia,Day and night,Australia tour of South Africa,Shaun Pollock,South Africa,Australia,bat first,South Africa,away,1997
Pakistan,Zimbabwe,187,94,10,10,Pakistan,Day,Singer-Akai Cup,Inzamam-ul-Haq,Pakistan,Pakistan,bat first,United Arab Emirates,away,1997
Sri Lanka,Pakistan,251,200,7,10,Sri Lanka,Day,Singer-Akai Cup,Aravinda de Silva,Sri Lanka,Sri Lanka,bat first,United Arab Emirates,away,1997
Zimbabwe,Sri Lanka,203,153,10,10,Zimbabwe,Day,Singer-Akai Cup,Guy Whittall,Zimbabwe,Zimbabwe,bat first,United Arab Emirates,away,1997
Australia,South Africa,258,250,7,8,Australia,Day and night,Australia tour of South Africa,Michael Di Venuto,Australia,Australia,bat first,South Africa,away,1997
Pakistan,Zimbabwe,151,119,9,10,Pakistan,Day,Singer-Akai Cup,Moin Khan,Pakistan,Pakistan,bat first,United Arab Emirates,away,1997
South Africa,Australia,284,287,7,5,Australia,Day and night,Australia tour of South Africa,Michael Bevan,Australia,South Africa,bat first,South Africa,away,1997
Pakistan,Sri Lanka,214,215,10,6,Sri Lanka,Day,Singer-Akai Cup,Aravinda de Silva,Sri Lanka,Pakistan,bat first,United Arab Emirates,away,1997
South Africa,Australia,310,201,6,10,South Africa,Day,Australia tour of South Africa,Lance Klusener,South Africa,Australia,field first,South Africa,home,1997
India,West Indies,179,149,10,2,West Indies,Day,India tour of West Indies,Shivnarine Chanderpaul,West Indies,India,bat first,West Indies,home,1997
West Indies,India,121,116,10,0,India,Day,India tour of West Indies,Abey Kuruvilla,India,India,field first,West Indies,away,1997
West Indies,India,249,231,9,10,West Indies,Day,India tour of West Indies,Stuart Williams,West Indies,India,field first,West Indies,home,1997
India,West Indies,199,200,7,0,West Indies,Day,India tour of West Indies,Shivnarine Chanderpaul,West Indies,West Indies,field first,West Indies,home,1997
New Zealand,Pakistan,285,263,7,9,New Zealand,Day and night,Pepsi Independence Cup,Nathan Astle,New Zealand,Pakistan,field first,India,away,1997
Pakistan,Sri Lanka,289,259,6,10,Pakistan,Day and night,Pepsi Independence Cup,Aaqib Javed,Pakistan,Pakistan,bat first,India,away,1997
New Zealand,India,220,221,9,2,India,Day and night,Pepsi Independence Cup,Sachin Tendulkar,India,New Zealand,bat first,India,home,1997
India,Sri Lanka,225,229,7,5,Sri Lanka,Day and night,Pepsi Independence Cup,Sanath Jayasuriya,Sri Lanka,India,bat first,India,away,1997
Sri Lanka,New Zealand,214,162,10,10,Sri Lanka,Day and night,Pepsi Independence Cup,Romesh Kaluwitharana,Sri Lanka,Sri Lanka,bat first,India,away,1997
Pakistan,India,327,292,5,10,Pakistan,Day and night,Pepsi Independence Cup,Saeed Anwar,Pakistan,Pakistan,bat first,India,away,1997
Australia,England,170,175,8,4,England,Day,Australia tour of England and Scotland,Adam Hollioake,England,England,field first,England,home,1997
Sri Lanka,Pakistan,339,224,4,10,Sri Lanka,Day and night,Pepsi Independence Cup,Sanath Jayasuriya,Sri Lanka,Sri Lanka,bat first,India,away,1997
Australia,England,249,253,6,4,England,Day,Australia tour of England and Scotland,Mike Atherton,England,England,field first,England,home,1997
Australia,England,269,270,10,4,England,Day,Australia tour of England and Scotland,Darren Gough,England,England,field first,England,home,1997
Sri Lanka,Pakistan,309,224,10,10,Sri Lanka,Day and night,Pepsi Independence Cup,Aravinda de Silva,Sri Lanka,Sri Lanka,bat first,India,away,1997
West Indies,Sri Lanka,283,248,7,8,West Indies,Day,Sri Lanka tour of West Indies,Stuart Williams,West Indies,Sri Lanka,field first,West Indies,home,1997
Sri Lanka,Pakistan,239,224,10,9,Sri Lanka,Day,Pepsi Asia Cup,Marvan Atapattu,Sri Lanka,Pakistan,field first,Sri Lanka,home,1997
Pakistan,Bangladesh,319,210,5,10,Pakistan,Day,Pepsi Asia Cup,Saeed Anwar,Pakistan,Pakistan,bat first,Sri Lanka,away,1997
India,Sri Lanka,227,231,6,4,Sri Lanka,Day,Pepsi Asia Cup,Arjuna Ranatunga,Sri Lanka,Sri Lanka,field first,Sri Lanka,home,1997
Sri Lanka,Bangladesh,296,193,4,8,Sri Lanka,Day,Pepsi Asia Cup,Sanath Jayasuriya,Sri Lanka,Bangladesh,field first,Sri Lanka,home,1997
Bangladesh,India,130,132,8,1,India,Day,Pepsi Asia Cup,Sourav Ganguly,India,India,field first,Sri Lanka,away,1997
India,Sri Lanka,239,240,7,2,Sri Lanka,Day,Pepsi Asia Cup,Marvan Atapattu,Sri Lanka,India,bat first,Sri Lanka,home,1997
Sri Lanka,India,302,300,4,7,Sri Lanka,Day and night,India tour of Sri Lanka,Ajay Jadeja,India,India,field first,Sri Lanka,home,1997
India,Sri Lanka,238,241,10,3,Sri Lanka,Day and night,India tour of Sri Lanka,Sanath Jayasuriya,Sri Lanka,Sri Lanka,field first,Sri Lanka,home,1997
Sri Lanka,India,264,255,10,8,Sri Lanka,Day,India tour of Sri Lanka,Aravinda de Silva,Sri Lanka,India,field first,Sri Lanka,home,1997
India,Pakistan,208,188,10,10,India,Day,Pakistan tour of Canada,Ajay Jadeja,India,Pakistan,field first,Canada,away,1997
Pakistan,India,116,117,10,3,India,Day,Pakistan tour of Canada,Sourav Ganguly,India,Pakistan,bat first,Canada,away,1997
India,Pakistan,182,148,6,10,India,Day,Pakistan tour of Canada,Sourav Ganguly,India,Pakistan,field first,Canada,away,1997
Pakistan,India,159,162,6,3,India,Day,Pakistan tour of Canada,Sourav Ganguly,India,India,field first,Canada,away,1997
India,Pakistan,250,251,5,5,Pakistan,Day,Pakistan tour of Canada,Sourav Ganguly,India,Pakistan,field first,Canada,away,1997
India,Pakistan,170,171,10,5,Pakistan,Day,India tour of Pakistan,Aaqib Javed,Pakistan,India,bat first,Pakistan,home,1997
Pakistan,India,265,266,4,6,India,Day,India tour of Pakistan,Sourav Ganguly,India,Pakistan,bat first,Pakistan,away,1997
Zimbabwe,New Zealand,233,233,8,9,Match tied,Day,New Zealand tour of Zimbabwe,Chris Harris,New Zealand,Zimbabwe,bat first,Zimbabwe,away,1997
India,Pakistan,216,219,10,1,Pakistan,Day and night,India tour of Pakistan,Ijaz Ahmed,Pakistan,Pakistan,field first,Pakistan,home,1997
New Zealand,Zimbabwe,185,188,7,7,Zimbabwe,Day,New Zealand tour of Zimbabwe,Paul Strang,Zimbabwe,New Zealand,bat first,Zimbabwe,home,1997
New Zealand,Zimbabwe,294,211,7,10,New Zealand,Day,New Zealand tour of Zimbabwe,Chris Cairns,New Zealand,New Zealand,bat first,Zimbabwe,away,1997
Kenya,Bangladesh,347,197,3,10,Kenya,Day,President's Cup,Kennedy Otieno,Kenya,Bangladesh,field first,Kenya,home,1997
Zimbabwe,Bangladesh,305,257,4,10,Zimbabwe,Day,President's Cup,Grant Flower,Zimbabwe,Zimbabwe,bat first,Kenya,away,1997
Kenya,Zimbabwe,249,244,8,4,Zimbabwe,Day,President's Cup,Guy Whittall,Zimbabwe,Kenya,bat first,Kenya,away,1997
Zimbabwe,Bangladesh,284,92,10,10,Zimbabwe,Day,President's Cup,Bryan Strang,Zimbabwe,Zimbabwe,bat first,Kenya,away,1997
Bangladesh,Kenya,100,102,10,2,Kenya,Day,President's Cup,Martin Suji,Kenya,Bangladesh,bat first,Kenya,home,1997
Kenya,Zimbabwe,207,210,9,3,Zimbabwe,Day,President's Cup,Andy Flower,Zimbabwe,Zimbabwe,field first,Kenya,away,1997
Zimbabwe,Kenya,281,172,8,7,Zimbabwe,Day,President's Cup,Andy Flower,Zimbabwe,Zimbabwe,bat first,Kenya,away,1997
Zimbabwe,Kenya,272,190,6,10,Zimbabwe,Day,President's Cup,Andy Whittall,Zimbabwe,Zimbabwe,bat first,Kenya,away,1997
