team1,team2,score_team1,score_team2,wickets_team1,wickets_team2,winner,time_of_day,series,player_of_match,player_of_match_team,toss,toss_decision,ground_country,winner_played_at,year
Sri Lanka,South Africa,308,259,8,10,Sri Lanka,Day,South Africa tour of Sri Lanka,Upul Chandana,Sri Lanka,South Africa,field first,Sri Lanka,home,2004
India,England,170,171,10,3,England,Day,India tour of England,Alex Wharf,England,England,field first,England,home,2004
England,India,307,237,5,10,England,Day,India tour of England,Andrew Flintoff,England,India,field first,England,home,2004
Australia,Pakistan,269,259,6,10,Australia,Day,Australia tour of England,Andrew Symonds,Australia,Pakistan,field first,England,away,2004
India,England,204,181,10,10,India,Day,India tour of England,Sourav Ganguly,India,India,bat first,England,away,2004
England,Zimbabwe,299,147,7,10,England,Day,ICC Champions Trophy,Paul Collingwood,England,Zimbabwe,field first,England,home,
New Zealand,United States of America,347,137,4,10,New Zealand,Day,ICC Champions Trophy,Nathan Astle,New Zealand,United States of America,field first,England,away,2004
India,Kenya,290,192,4,7,India,Day,ICC Champions Trophy,Sourav Ganguly,India,Kenya,field first,England,away,2004
Bangladesh,South Africa,93,94,10,1,South Africa,Day,ICC Champions Trophy,Charl Langeveldt,South Africa,Bangladesh,bat first,England,away,2004
United States of America,Australia,65,66,10,1,Australia,Day,ICC Champions Trophy,Michael Kasprowicz,Australia,Australia,field first,England,away,2004
Zimbabwe,Sri Lanka,191,195,10,6,Sri Lanka,Day,ICC Champions Trophy,Elton Chigumbura,Zimbabwe,Sri Lanka,field first,England,away,2004
Kenya,Pakistan,94,95,10,3,Pakistan,Day,ICC Champions Trophy,Shahid Afridi,Pakistan,Pakistan,field first,England,away,
West Indies,Bangladesh,269,131,3,10,West Indies,Day,ICC Champions Trophy,Chris Gayle,West Indies,Bangladesh,field first,England,away,2004
New Zealand,Australia,198,199,9,3,Australia,Day,ICC Champions Trophy,Andrew Symonds,Australia,Australia,field first,England,away,2004
England,Sri Lanka,251,95,7,5,England,Day,ICC Champions Trophy,Andrew Flintoff,England,Sri Lanka,field first,England,home,
South Africa,West Indies,246,249,6,5,West Indies,Day,ICC Champions Trophy,Ramnaresh Sarwan,West Indies,West Indies,field first,England,away,
India,Pakistan,200,201,10,7,Pakistan,Day,ICC Champions Trophy,Mohammad Yousuf,Pakistan,Pakistan,field first,England,away,2004
Australia,England,259,262,9,4,England,Day,ICC Champions Trophy,Michael Vaughan,England,England,field first,England,home,2004
Pakistan,West Indies,131,132,10,3,West Indies,Day,ICC Champions Trophy,Ramnaresh Sarwan,West Indies,Pakistan,bat first,England,away,2004
England,West Indies,217,218,10,8,West Indies,Day,ICC Champions Trophy,Ian Bradshaw,West Indies,West Indies,field first,England,away,2004
Pakistan,Zimbabwe,292,148,7,10,Pakistan,Day,Paktel Cup,Abdul Razzaq,Pakistan,Pakistan,bat first,Pakistan,home,2004
Zimbabwe,Pakistan,252,258,4,7,Pakistan,Day,Paktel Cup,Younis Khan,Pakistan,Pakistan,field first,Pakistan,home,2004
Sri Lanka,Pakistan,232,233,9,2,Pakistan,Day,Paktel Cup,Shoaib Malik,Pakistan,Sri Lanka,bat first,Pakistan,home,2004
Zimbabwe,Sri Lanka,104,108,10,3,Sri Lanka,Day,Paktel Cup,Farveez Maharoof,Sri Lanka,Sri Lanka,field first,Pakistan,away,2004
Sri Lanka,Pakistan,293,297,6,4,Pakistan,Day and night,Paktel Cup,Marvan Atapattu,Sri Lanka,Pakistan,field first,Pakistan,home,2004
Sri Lanka,Pakistan,287,168,7,10,Sri Lanka,Day and night,Paktel Cup,Kumar Sangakkara,Sri Lanka,Pakistan,field first,Pakistan,away,2004
New Zealand,Bangladesh,224,86,10,10,New Zealand,Day,New Zealand tour of Bangladesh,Chris Cairns,New Zealand,New Zealand,bat first,Bangladesh,away,2004
Bangladesh,New Zealand,146,148,10,7,New Zealand,Day and night,New Zealand tour of Bangladesh,Aftab Ahmed,Bangladesh,Bangladesh,bat first,Bangladesh,away,2004
New Zealand,Bangladesh,250,167,7,7,New Zealand,Day and night,New Zealand tour of Bangladesh,Scott Styris,New Zealand,New Zealand,bat first,Bangladesh,away,2004
India,Pakistan,292,293,6,4,Pakistan,Day and night,Pakistan tour of India,Salman Butt,Pakistan,India,bat first,India,away,2004
Zimbabwe,England,195,197,10,5,England,Day,England tour of Zimbabwe,Ian Bell,England,England,field first,Zimbabwe,away,2004
England,Zimbabwe,263,102,6,10,England,Day,England tour of Zimbabwe,Kevin Pietersen,England,England,bat first,Zimbabwe,away,2004
Zimbabwe,England,238,239,7,2,England,Day,England tour of Zimbabwe,Vikram Solanki,England,Zimbabwe,bat first,Zimbabwe,away,2004
Australia,New Zealand,246,247,9,6,New Zealand,Day and night,New Zealand tour of Australia,Hamish Marshall,New Zealand,New Zealand,field first,Australia,away,2004
England,Zimbabwe,261,187,6,10,England,Day,England tour of Zimbabwe,Geraint Jones,England,England,bat first,Zimbabwe,away,2004
Australia,New Zealand,261,244,7,10,Australia,Day and night,New Zealand tour of Australia,Brad Hogg,Australia,Australia,bat first,Australia,home,2004
India,Bangladesh,245,234,8,8,India,Day,India tour of Bangladesh,Mohammad Kaif,India,Bangladesh,field first,Bangladesh,away,2004
Sri Lanka,New Zealand,141,144,10,3,New Zealand,Day,Sri Lanka tour of New Zealand,Stephen Fleming,New Zealand,New Zealand,field first,New Zealand,home,2004
Bangladesh,India,229,214,9,10,Bangladesh,Day and night,India tour of Bangladesh,Mashrafe Mortaza,Bangladesh,Bangladesh,bat first,Bangladesh,home,2004
India,Bangladesh,348,257,5,9,India,Day and night,India tour of Bangladesh,Virender Sehwag,India,India,bat first,Bangladesh,away,2004
Australia,West Indies,301,185,4,10,Australia,Day and night,VB Series,Brad Hogg,Australia,Australia,bat first,Australia,home,2005
Pakistan,Australia,272,253,7,6,Australia,Day,VB Series,Michael Clarke,Australia,Pakistan,bat first,Australia,home,2005
West Indies,Pakistan,273,274,5,4,Pakistan,Day,VB Series,Kamran Akmal,Pakistan,Pakistan,field first,Australia,away,2005
Zimbabwe,Bangladesh,251,229,8,10,Zimbabwe,Day and night,Zimbabwe tour of Bangladesh,Douglas Hondo,Zimbabwe,Zimbabwe,bat first,Bangladesh,away,2005
Pakistan,Australia,163,167,10,1,Australia,Day and night,VB Series,Michael Clarke,Australia,Australia,field first,Australia,home,2005
Zimbabwe,Bangladesh,237,206,5,10,Zimbabwe,Day,Zimbabwe tour of Bangladesh,Barney Rogers,Zimbabwe,Zimbabwe,bat first,Bangladesh,away,2005
Bangladesh,Zimbabwe,244,204,9,10,Bangladesh,Day,Zimbabwe tour of Bangladesh,Manzarul Islam,Bangladesh,Bangladesh,bat first,Bangladesh,home,2005
Australia,West Indies,269,196,8,10,Australia,Day and night,VB Series,Brett Lee,Australia,Australia,bat first,Australia,home,2005
West Indies,Pakistan,339,281,4,9,West Indies,Day,VB Series,Brian Lara,West Indies,Pakistan,field first,Australia,away,2005
Bangladesh,Zimbabwe,247,189,9,10,Bangladesh,Day and night,Zimbabwe tour of Bangladesh,Manzarul Islam,Bangladesh,Bangladesh,bat first,Bangladesh,home,2005
Australia,Pakistan,265,268,10,7,Pakistan,Day and night,VB Series,Abdul Razzaq,Pakistan,Australia,bat first,Australia,away,2005
South Africa,England,175,103,9,3,England,Day,England tour of South Africa,Michael Vaughan,England,England,field first,South Africa,away,2005
Zimbabwe,Bangladesh,198,202,10,2,Bangladesh,Day,Zimbabwe tour of Bangladesh,Mohammad Rafique,Bangladesh,Zimbabwe,bat first,Bangladesh,home,2005
Pakistan,West Indies,307,277,8,10,Pakistan,Day,VB Series,Mohammad Yousuf,Pakistan,West Indies,field first,Australia,away,2005
England,South Africa,270,270,5,8,Match tied,Day and night,England tour of South Africa,Kevin Pietersen,England,South Africa,field first,South Africa,away,2005
Australia,Pakistan,237,219,10,9,Australia,Day and night,VB Series,Andrew Symonds,Australia,Australia,bat first,Australia,home,2005
England,South Africa,267,270,8,7,South Africa,Day and night,England tour of South Africa,Graeme Smith,South Africa,England,bat first,South Africa,home,2005
Australia,Pakistan,239,208,9,10,Australia,Day and night,VB Series,Glenn McGrath,Australia,Australia,bat first,Australia,home,2005
South Africa,England,291,183,5,10,South Africa,Day,England tour of South Africa,Herschelle Gibbs,South Africa,England,field first,South Africa,home,2005
South Africa,England,311,304,7,8,South Africa,Day and night,England tour of South Africa,Justin Kemp,South Africa,South Africa,bat first,South Africa,home,2005
England,South Africa,240,241,10,7,South Africa,Day,England tour of South Africa,Kevin Pietersen,England,South Africa,field first,South Africa,home,2005
Australia,New Zealand,236,226,7,10,Australia,Day and night,Australia tour of New Zealand,Glenn McGrath,Australia,Australia,bat first,New Zealand,away,2005
Australia,New Zealand,314,208,6,10,Australia,Day and night,Australia tour of New Zealand,Matthew Hayden,Australia,New Zealand,field first,New Zealand,away,2005
South Africa,Zimbabwe,301,136,7,10,South Africa,Day and night,Zimbabwe tour of South Africa,Mark Boucher,South Africa,Zimbabwe,field first,South Africa,home,2005
Australia,New Zealand,264,178,5,10,Australia,Day and night,Australia tour of New Zealand,Michael Clarke,Australia,Australia,bat first,New Zealand,away,2005
South Africa,Zimbabwe,329,198,6,7,South Africa,Day,Zimbabwe tour of South Africa,Graeme Smith,South Africa,Zimbabwe,field first,South Africa,home,2005
New Zealand,Australia,233,236,10,3,Australia,Day,Australia tour of New Zealand,Adam Gilchrist,Australia,Australia,field first,New Zealand,away,2005
Zimbabwe,South Africa,206,207,8,5,South Africa,Day and night,Zimbabwe tour of South Africa,Justin Kemp,South Africa,Zimbabwe,bat first,South Africa,home,2005
Australia,New Zealand,347,225,5,8,Australia,Day,Australia tour of New Zealand,Ricky Ponting,Australia,New Zealand,field first,New Zealand,away,2005
India,Pakistan,281,194,8,10,India,Day,Pakistan tour of India,Virender Sehwag,India,India,bat first,India,home,2005
India,Pakistan,356,298,9,10,India,Day,Pakistan tour of India,MS Dhoni,India,India,bat first,India,home,2005
Pakistan,India,319,213,9,10,Pakistan,Day,Pakistan tour of India,Naved-ul-Hasan,Pakistan,Pakistan,bat first,India,away,2005
India,Pakistan,315,319,6,7,Pakistan,Day,Pakistan tour of India,Inzamam-ul-Haq,Pakistan,India,bat first,India,away,2005
India,Pakistan,249,252,6,5,Pakistan,Day,Pakistan tour of India,Shahid Afridi,Pakistan,India,bat first,India,away,2005
Pakistan,India,303,144,8,10,Pakistan,Day,Pakistan tour of India,Shoaib Malik,Pakistan,Pakistan,bat first,India,away,2005
West Indies,South Africa,253,255,10,2,South Africa,Day,South Africa tour of West Indies,Graeme Smith,South Africa,West Indies,bat first,West Indies,away,2005
West Indies,South Africa,152,124,7,2,South Africa,Day,South Africa tour of West Indies,Boeta Dippenaar,South Africa,South Africa,field first,West Indies,away,2005
South Africa,West Indies,284,283,6,10,South Africa,Day,South Africa tour of West Indies,Charl Langeveldt,South Africa,West Indies,field first,West Indies,away,2005
West Indies,South Africa,231,232,8,4,South Africa,Day,South Africa tour of West Indies,Ashwell Prince,South Africa,South Africa,field first,West Indies,away,2005
West Indies,South Africa,138,141,7,3,South Africa,Day,South Africa tour of West Indies,Boeta Dippenaar,South Africa,South Africa,field first,West Indies,away,2005
Pakistan,West Indies,192,133,10,10,Pakistan,Day,Pakistan tour of West Indies,Abdul Razzaq,Pakistan,West Indies,field first,West Indies,away,2005
Pakistan,West Indies,258,218,8,10,Pakistan,Day,Pakistan tour of West Indies,Shoaib Malik,Pakistan,Pakistan,bat first,West Indies,away,2005
Pakistan,West Indies,303,281,6,10,Pakistan,Day,Pakistan tour of West Indies,Shahid Afridi,Pakistan,West Indies,field first,West Indies,away,2005
